Audiencia,Grupo,Función,Ruta,Requiere plan,Nota
Vendedor,"Inicio y operación","Dashboard",/dashboard,No,""
Vendedor,"Inicio y operación","Inventario",/inventory,No,""
Vendedor,"Inicio y operación","Fotos página pública",/settings/seller-public-page,No,""
Vendedor,"Inicio y operación","Guía del Vendedor",/docs/guia-vendedor,No,""
Vendedor,"CRM y clientes","Leads",/leads,No,""
Vendedor,"CRM y clientes","Interés catálogo web",/catalog-interest,No,""
Vendedor,"CRM y clientes","Pipeline Kanban",/leads/kanban,Sí,""
Vendedor,"CRM y clientes","Tareas",/tasks,Sí,""
Vendedor,"CRM y clientes","Workflows",/workflows,Sí,""
Vendedor,"CRM y clientes","Clientes (F&I)",/fi,Sí,""
Vendedor,"CRM y clientes","Casos de Cliente",/customer-files,Sí,""
Vendedor,"CRM y clientes","Citas",/appointments,Sí,""
Vendedor,"Comunicación","Mensajes",/messages,No,""
Vendedor,"Comunicación","Chat Interno",/internal-chat,No,""
Vendedor,"Comunicación","Chat Público",/public-chat,Sí,""
Vendedor,"Marketing y reputación","Campañas",/campaigns,Sí,""
Vendedor,"Marketing y reputación","Publicaciones Sociales",/social-posts,Sí,""
Vendedor,"Marketing y reputación","Promociones",/promotions,No,""
Vendedor,"Marketing y reputación","Banners Premium",/banners,No,""
Vendedor,"Marketing y reputación","Referidos",/referrals,No,""
Vendedor,"Marketing y reputación","Reseñas",/reviews,No,""
Vendedor,"Ventas, F&I y documentos","Documentos",/documents,No,""
Vendedor,"Ventas, F&I y documentos","Contratos",/contracts,No,""
Vendedor,"Ventas, F&I y documentos","F&I",/fi,Sí,""
Vendedor,"Ventas, F&I y documentos","Deal desk",/deals,No,""
Vendedor,"Ventas, F&I y documentos","Estadísticas de Ventas",/sales-statistics,No,""
Vendedor,"Ventas, F&I y documentos","Mi compensación",/compensation,Sí,""
Vendedor,"Ventas, F&I y documentos","Reportes",/reports,Sí,""
Vendedor,"Equipo","Usuarios",/users,No,""
Vendedor,"Equipo","Políticas legales",/policies,No,""
Vendedor,"Configuración del panel","Configuración (resumen)",/settings,No,""
Vendedor,"Configuración del panel","Perfil",/settings/profile,No,""
Vendedor,"Configuración del panel","Seguridad",/settings/security,No,""
Vendedor,"Configuración del panel","Soporte",/settings/support,No,""
Vendedor,"Configuración del panel","Notificaciones",/settings/notifications,No,""
Vendedor,"Configuración del panel","PDF F&I (branding documentos)",/settings/document-branding,No,""
Vendedor,"Configuración del panel","Fotos y videos página pública",/settings/seller-public-page,No,""
Vendedor,"Configuración del panel","Marca web",/settings/branding,No,""
Vendedor,"Configuración del panel","Sitio web",/settings/website,No,""
Vendedor,"Configuración del panel","Integraciones",/settings/integrations,No,""
Vendedor,"Configuración del panel","Agente de Voz",/settings/voice-agent,No,""
Vendedor,"Configuración del panel","Vínculo con concesionario",/settings/dealer-link,No,""
Vendedor,"Configuración del panel","Membresía",/settings/membership,No,""
Vendedor,"Configuración del panel","Pagos",/settings/payments,No,""
Vendedor,"Configuración del panel","Plantillas",/settings/templates,No,""
Vendedor,"Configuración del panel","Políticas (configuración)",/settings/policies,No,""
Vendedor,"Configuración del panel","Destacados (featured)",/settings/featured,No,""
Vendedor,"Configuración del panel","IA",/settings/ai,No,""
Vendedor,"Configuración del panel","Email corporativo",/settings/corporate-email,No,""
