Audiencia,Grupo,Función,Ruta,Requiere plan,Nota
Dealer,"Inicio y operación","Dashboard",/dashboard,No,""
Dealer,"Inicio y operación","Inventario",/inventory,No,""
Dealer,"Inicio y operación","Importación masiva de inventario",/inventory/bulk,No,""
Dealer,"Inicio y operación","Inventario de red (multi-sede)",/inventory/network,No,""
Dealer,"Inicio y operación","Sitio público del inventario",/inventory/site,No,""
Dealer,"Inicio y operación","Feeds de inventario",/inventory/feeds,No,""
Dealer,"Inicio y operación","Alianzas de inventario",/inventory/alliances,No,""
Dealer,"Inicio y operación","Gestión de fotos por vehículo",/inventory/photos/[id],No,""
Dealer,"CRM y clientes","Leads",/leads,No,""
Dealer,"CRM y clientes","Interés catálogo web",/catalog-interest,No,""
Dealer,"CRM y clientes","Autos en venta (clientes)",/sell-to-dealer,No,"Cliente vende su auto al dealer (no es trade-in)"
Dealer,"CRM y clientes","Pipeline Kanban",/leads/kanban,Sí,""
Dealer,"CRM y clientes","CRM — Reglas de leads",/settings/crm-lead-routing,No,""
Dealer,"CRM y clientes","Tareas",/tasks,Sí,""
Dealer,"CRM y clientes","Workflows",/workflows,Sí,""
Dealer,"CRM y clientes","Casos de Cliente",/customer-files,Sí,""
Dealer,"CRM y clientes","Citas",/appointments,Sí,""
Dealer,"Comunicación","Mensajes",/messages,No,""
Dealer,"Comunicación","Chat Interno",/internal-chat,No,""
Dealer,"Comunicación","Chat Público",/public-chat,Sí,""
Dealer,"Marketing y web","Campañas",/campaigns,Sí,""
Dealer,"Marketing y web","Publicaciones Sociales",/social-posts,Sí,""
Dealer,"Marketing y web","Promociones",/promotions,No,""
Dealer,"Marketing y web","Banners Premium",/banners,No,""
Dealer,"Marketing y web","Fotos página pública (galería de confianza)",/settings/trust-gallery,No,""
Dealer,"Marketing y web","Anuncios",/announcements,No,""
Dealer,"Marketing y web","Referidos",/referrals,No,""
Dealer,"Marketing y web","Reseñas",/reviews,No,""
Dealer,"Ventas, F&I y documentos","Documentos",/documents,No,""
Dealer,"Ventas, F&I y documentos","F&I",/fi,Sí,""
Dealer,"Ventas, F&I y documentos","Métricas F&I",/fi/metrics,Sí,""
Dealer,"Ventas, F&I y documentos","Workflows F&I",/fi/workflows,Sí,""
Dealer,"Ventas, F&I y documentos","Deal desk",/deals,No,""
Dealer,"Ventas, F&I y documentos","Estadísticas de Ventas",/sales-statistics,No,""
Dealer,"Ventas, F&I y documentos","Reportes",/reports,Sí,""
Dealer,"Taller y operaciones","Taller / Servicio",/service,No,""
Dealer,"Taller y operaciones","Estimados",/estimates,No,""
Dealer,"Taller y operaciones","Facturas",/invoices,No,""
Dealer,"Taller y operaciones","Piezas",/parts,No,""
Dealer,"Taller y operaciones","Finanzas",/finance,No,""
Dealer,"Taller y operaciones","RR.HH.",/hr,No,""
Dealer,"Equipo y red","Vendedores",/sellers,No,""
Dealer,"Equipo y red","Usuarios",/users,No,""
Dealer,"Equipo y red","Mis concesionarios",/dealers,No,""
Dealer,"Equipo y red","Políticas legales",/policies,No,""
Dealer,"Configuración del panel","Membresía y planes",/settings/membership,No,""
Dealer,"Configuración del panel","Perfil",/settings/profile,No,""
Dealer,"Configuración del panel","Seguridad",/settings/security,No,""
Dealer,"Configuración del panel","Soporte",/settings/support,No,""
Dealer,"Configuración del panel","Notificaciones",/settings/notifications,No,""
Dealer,"Configuración del panel","CRM SLA",/settings/crm-sla,No,""
Dealer,"Configuración del panel","IA",/settings/ai,No,""
Dealer,"Configuración del panel","Agente de Voz",/settings/voice-agent,No,""
Dealer,"Configuración del panel","Integraciones",/settings/integrations,No,""
Dealer,"Configuración del panel","API / Connect",/settings/integrations/api,No,""
Dealer,"Configuración del panel","Migración CSV",/settings/migration,No,""
Dealer,"Configuración del panel","Pagos",/settings/payments,No,""
Dealer,"Configuración del panel","Compensación",/settings/compensation,No,""
Dealer,"Configuración del panel","Configuración F&I",/settings/fi-manager,No,""
Dealer,"Configuración del panel","PDF F&I (branding documentos)",/settings/document-branding,No,""
Dealer,"Configuración del panel","Emails corporativos",/settings/corporate-emails,No,""
Dealer,"Configuración del panel","Sitio web",/settings/website,No,""
Dealer,"Configuración del panel","Marca",/settings/branding,No,""
Dealer,"Configuración del panel","Plantillas",/settings/templates,No,""
Dealer,"Configuración del panel","Políticas (configuración)",/settings/policies,No,""
Dealer,"Configuración del panel","Destacados (featured)",/settings/featured,No,""
